current_account_nbr,transaction_type,cycle,first_purchase_ind,us_conversion
08AQCc8ZUkbuWVtv,SALE,7,N,1668.1200000000001
08AQCc8ZUkbuWVtv,SALE,8,N,4398.77
08AQCc8ZUkbuWVtv,SALE,9,N,4008.38
08AQCc8ZUkbuWVtv,SALE,10,N,3876.0099999999998
08AQCc8ZUkbuWVtv,SALE,11,N,3684.7000000000003
08AQCc8ZUkbuWVtv,SALE,12,N,3832.05
08I8UH07m7ypjBcH,SALE,1,N,5242.87
08I8UH07m7ypjBcH,SALE,2,N,1502.73
08I8UH07m7ypjBcH,SALE,3,N,1663.6299999999999
08I8UH07m7ypjBcH,SALE,4,N,232.26
08I8UH07m7ypjBcH,SALE,5,N,1545.94
08I8UH07m7ypjBcH,SALE,6,N,1766.28
08I8UH07m7ypjBcH,SALE,7,N,1271.94
08I8UH07m7ypjBcH,SALE,8,N,447.68
08I8UH07m7ypjBcH,SALE,9,N,185.34
08I8UH07m7ypjBcH,SALE,10,N,1034.41
08I8UH07m7ypjBcH,SALE,11,N,1528.13
08I8UH07m7ypjBcH,SALE,12,N,1510.93
08YiL312EVYPNkE7,SALE,1,N,102.78
08YiL312EVYPNkE7,SALE,2,N,516.9
08YiL312EVYPNkE7,SALE,3,N,1185.98
08YiL312EVYPNkE7,SALE,5,N,651.47
08YiL312EVYPNkE7,SALE,6,N,495.95
08YiL312EVYPNkE7,SALE,7,N,367.38
08YiL312EVYPNkE7,SALE,8,N,422.0
08YiL312EVYPNkE7,SALE,9,N,354.37
08YiL312EVYPNkE7,SALE,10,N,110.78999999999999
08YiL312EVYPNkE7,SALE,11,N,215.76
08YiL312EVYPNkE7,SALE,12,N,147.88
09qxxPHHPpExgfbJ,SALE,9,N,2.0
09u8FhMHTWxAfe6l,SALE,1,N,1177.79
09u8FhMHTWxAfe6l,SALE,2,N,1041.41
09u8FhMHTWxAfe6l,SALE,3,N,818.91
09u8FhMHTWxAfe6l,SALE,4,N,590.26
09u8FhMHTWxAfe6l,SALE,10,N,52.99
09u8FhMHTWxAfe6l,SALE,11,N,1222.29
09u8FhMHTWxAfe6l,SALE,12,N,1028.96
09urNCmkAfBit8ED,SALE,1,N,50.0
09urNCmkAfBit8ED,SALE,2,N,50.0
09urNCmkAfBit8ED,SALE,3,N,14921.71
09urNCmkAfBit8ED,SALE,4,N,387.17
09urNCmkAfBit8ED,SALE,5,N,590.87
09urNCmkAfBit8ED,SALE,6,N,471.98
09urNCmkAfBit8ED,SALE,7,N,241.63
09urNCmkAfBit8ED,SALE,8,N,970.25
09urNCmkAfBit8ED,SALE,9,N,191.44
09urNCmkAfBit8ED,SALE,10,N,385.52
09urNCmkAfBit8ED,SALE,11,N,1197.22
0AhQ7kZQaxhVg5d0,SALE,1,N,702.2
0AhQ7kZQaxhVg5d0,SALE,3,N,1071.36
0AhQ7kZQaxhVg5d0,SALE,4,N,243.82
0AhQ7kZQaxhVg5d0,SALE,6,N,270.27
0AhQ7kZQaxhVg5d0,SALE,7,N,669.77
0AhQ7kZQaxhVg5d0,SALE,8,N,383.03
0AhQ7kZQaxhVg5d0,SALE,9,N,253.2
0AhQ7kZQaxhVg5d0,SALE,10,N,308.36
0AhQ7kZQaxhVg5d0,SALE,11,N,617.25
0AhQ7kZQaxhVg5d0,SALE,12,N,398.51
0Ap5LvxTNGXrx0Ga,SALE,1,N,4618.55
0Ap5LvxTNGXrx0Ga,SALE,2,N,6472.27
0Ap5LvxTNGXrx0Ga,SALE,3,N,3885.58
0Ap5LvxTNGXrx0Ga,SALE,5,N,4596.69
0Ap5LvxTNGXrx0Ga,SALE,6,N,4518.16
0Ap5LvxTNGXrx0Ga,SALE,7,N,9872.17
0Ap5LvxTNGXrx0Ga,SALE,8,N,2858.44
0Ap5LvxTNGXrx0Ga,SALE,9,N,4328.9
0Ap5LvxTNGXrx0Ga,SALE,10,N,3484.56
0Ap5LvxTNGXrx0Ga,SALE,11,N,5169.9800000000005
0Ap5LvxTNGXrx0Ga,SALE,12,N,5675.66
0BVXhj39NqlKawm4,SALE,1,N,843.88
0BVXhj39NqlKawm4,SALE,2,N,1257.03
0BVXhj39NqlKawm4,SALE,3,N,1152.28
0BVXhj39NqlKawm4,SALE,5,N,1212.31
0BVXhj39NqlKawm4,SALE,6,N,1414.29
0BVXhj39NqlKawm4,SALE,7,N,1459.17
0BVXhj39NqlKawm4,SALE,8,N,1628.85
0BVXhj39NqlKawm4,SALE,9,N,1281.75
0BVXhj39NqlKawm4,SALE,10,N,963.71
0BVXhj39NqlKawm4,SALE,11,N,824.33
0BVXhj39NqlKawm4,SALE,12,N,2279.99
0C2VVHyCahESbVht,SALE,2,N,469.0
0C2VVHyCahESbVht,SALE,3,N,299.42
0C2VVHyCahESbVht,SALE,4,N,807.54
0CL0HaxmdHTViu6b,SALE,2,N,6.45
0CL0HaxmdHTViu6b,SALE,3,N,6.45
0E6jAhDsu277DEkD,SALE,7,N,1301.6999999999998
0Es4wmzbttmONVwf,SALE,1,N,231.69
0Es4wmzbttmONVwf,SALE,2,N,476.65
0Es4wmzbttmONVwf,SALE,3,N,192.76
0Es4wmzbttmONVwf,SALE,4,N,5.56
0Es4wmzbttmONVwf,SALE,12,N,380.26000000000005
0FhtS1MQQ2uXzFoI,SALE,1,N,462.45000000000005
0FhtS1MQQ2uXzFoI,SALE,2,N,1469.18
0FhtS1MQQ2uXzFoI,SALE,3,N,279.0
0FhtS1MQQ2uXzFoI,SALE,4,N,54.269999999999996
0FhtS1MQQ2uXzFoI,SALE,6,N,161.46
0FhtS1MQQ2uXzFoI,SALE,7,N,316.42
0FhtS1MQQ2uXzFoI,SALE,8,N,3626.75
0FhtS1MQQ2uXzFoI,SALE,9,N,18.26
0FhtS1MQQ2uXzFoI,SALE,10,N,401.55
0FhtS1MQQ2uXzFoI,SALE,11,N,102.06
0FhtS1MQQ2uXzFoI,SALE,12,N,376.93
0HEnn4KcOSJfVbRi,SALE,1,N,2358.73
0HEnn4KcOSJfVbRi,SALE,2,N,5588.5
0HEnn4KcOSJfVbRi,SALE,3,N,4355.33
0HEnn4KcOSJfVbRi,SALE,4,N,758.36
0HEnn4KcOSJfVbRi,SALE,10,N,1193.13
0HEnn4KcOSJfVbRi,SALE,11,N,1401.88
0HEnn4KcOSJfVbRi,SALE,12,N,2841.69
0HWHAArP7fD1K8NL,SALE,1,N,288.18
0HWHAArP7fD1K8NL,SALE,2,N,1246.1100000000001
0HWHAArP7fD1K8NL,SALE,3,N,904.32
0HWHAArP7fD1K8NL,SALE,4,N,417.21999999999997
0HWHAArP7fD1K8NL,SALE,5,N,1147.06
0HWHAArP7fD1K8NL,SALE,6,N,2954.3
0HWHAArP7fD1K8NL,SALE,7,N,2739.1
0HWHAArP7fD1K8NL,SALE,8,N,2610.35
0HWHAArP7fD1K8NL,SALE,9,N,1759.04
0HWHAArP7fD1K8NL,SALE,10,N,1229.98
0HWHAArP7fD1K8NL,SALE,11,N,1468.1000000000001
0HWHAArP7fD1K8NL,SALE,12,N,2083.39
0Htpsk2jf2fAMOwA,SALE,1,N,876.6
0Htpsk2jf2fAMOwA,SALE,2,N,153.63
0Htpsk2jf2fAMOwA,SALE,5,N,1052.13
0Htpsk2jf2fAMOwA,SALE,6,N,666.84
0Htpsk2jf2fAMOwA,SALE,7,N,1092.17
0Htpsk2jf2fAMOwA,SALE,8,N,1586.44
0Htpsk2jf2fAMOwA,SALE,9,N,550.15
0Htpsk2jf2fAMOwA,SALE,10,N,245.78
0Htpsk2jf2fAMOwA,SALE,11,N,548.61
0Htpsk2jf2fAMOwA,SALE,12,N,693.89
0IBlYp366byfa1ul,SALE,8,N,2511.62
0IBlYp366byfa1ul,SALE,9,N,3393.23
0IBlYp366byfa1ul,SALE,10,N,3851.28
0ISWuTCijfd65spF,SALE,1,N,1646.8
0ISWuTCijfd65spF,SALE,2,N,1926.75
0ISWuTCijfd65spF,SALE,3,N,1043.98
0ISWuTCijfd65spF,SALE,4,N,386.88
0ISWuTCijfd65spF,SALE,5,N,87.33
0ISWuTCijfd65spF,SALE,6,N,444.2
0ISWuTCijfd65spF,SALE,7,N,732.86
0ISWuTCijfd65spF,SALE,8,N,538.2
0ISWuTCijfd65spF,SALE,9,N,943.75
0ISWuTCijfd65spF,SALE,10,N,1117.86
0ISWuTCijfd65spF,SALE,11,N,528.54
0ISWuTCijfd65spF,SALE,12,N,641.04
0J0FQ2eH1whgfcqK,SALE,1,N,934.65
0J0FQ2eH1whgfcqK,SALE,2,N,388.11
0J0FQ2eH1whgfcqK,SALE,3,N,785.21
0J0FQ2eH1whgfcqK,SALE,4,N,401.83
0J0FQ2eH1whgfcqK,SALE,7,N,326.01
0J0FQ2eH1whgfcqK,SALE,8,N,1817.25
0J0FQ2eH1whgfcqK,SALE,9,N,1545.21
0J0FQ2eH1whgfcqK,SALE,10,N,3577.19
0J0FQ2eH1whgfcqK,SALE,11,N,756.29
0J0FQ2eH1whgfcqK,SALE,12,N,259.78
0JB2s4ypkB0R7Dtr,SALE,1,N,3165.0699999999997
0JB2s4ypkB0R7Dtr,SALE,2,N,3182.28
0JB2s4ypkB0R7Dtr,SALE,3,N,5596.93
0JB2s4ypkB0R7Dtr,SALE,4,N,1358.87
0JB2s4ypkB0R7Dtr,SALE,5,N,950.88
0JB2s4ypkB0R7Dtr,SALE,6,N,4560.77
0JB2s4ypkB0R7Dtr,SALE,7,N,4354.09
0JB2s4ypkB0R7Dtr,SALE,8,N,3186.53
0JB2s4ypkB0R7Dtr,SALE,9,N,3157.22
0JB2s4ypkB0R7Dtr,SALE,10,N,3401.25
0JB2s4ypkB0R7Dtr,SALE,11,N,3851.7
0JB2s4ypkB0R7Dtr,SALE,12,N,3196.58
0JMi4uEa3oGYEzit,SALE,1,N,35.85
0JMi4uEa3oGYEzit,SALE,2,N,40.36
0JMi4uEa3oGYEzit,SALE,3,N,30.5
0JMi4uEa3oGYEzit,SALE,6,N,26.479999999999997
0JMi4uEa3oGYEzit,SALE,7,N,40.95
0JMi4uEa3oGYEzit,SALE,9,N,44.63
0JMi4uEa3oGYEzit,SALE,12,N,34.65
0JSeQ5utRxQi5dWY,SALE,9,N,14.02
0JSeQ5utRxQi5dWY,SALE,11,N,15.57
0JSeQ5utRxQi5dWY,SALE,12,N,37.94
0JYXIQhZTd19ycT7,SALE,1,N,1203.27
0JYXIQhZTd19ycT7,SALE,2,N,655.42
0JYXIQhZTd19ycT7,SALE,3,N,2400.54
0JYXIQhZTd19ycT7,SALE,4,N,839.97
0JYXIQhZTd19ycT7,SALE,5,N,374.55
0JYXIQhZTd19ycT7,SALE,6,N,859.83
0JYXIQhZTd19ycT7,SALE,7,N,472.31
0JYXIQhZTd19ycT7,SALE,8,N,751.79
0JYXIQhZTd19ycT7,SALE,9,N,1269.71
0JYXIQhZTd19ycT7,SALE,10,N,466.49
0JYXIQhZTd19ycT7,SALE,11,N,1066.02
0JYXIQhZTd19ycT7,SALE,12,N,1240.69
0JfPVibCdkkiAitc,SALE,1,N,307.57
0JfPVibCdkkiAitc,SALE,2,N,421.09999999999997
0JfPVibCdkkiAitc,SALE,3,N,216.7
0JfPVibCdkkiAitc,SALE,4,N,39.16
0JfPVibCdkkiAitc,SALE,5,N,188.09
0JfPVibCdkkiAitc,SALE,6,N,854.63
0JfPVibCdkkiAitc,SALE,7,N,262.88
0JfPVibCdkkiAitc,SALE,8,N,226.72
0JfPVibCdkkiAitc,SALE,9,N,107.13
0JfPVibCdkkiAitc,SALE,10,N,282.49
0JfPVibCdkkiAitc,SALE,11,N,535.51
0JfPVibCdkkiAitc,SALE,12,N,289.04
0LfFC0f2GAC0aS1f,SALE,1,N,2508.69
0LfFC0f2GAC0aS1f,SALE,2,N,2409.94
0LfFC0f2GAC0aS1f,SALE,3,N,2359.43
0LfFC0f2GAC0aS1f,SALE,5,N,2545.7599999999998
0LfFC0f2GAC0aS1f,SALE,6,N,4496.59
0LfFC0f2GAC0aS1f,SALE,7,N,2675.46
0LfFC0f2GAC0aS1f,SALE,8,N,2013.9
0LfFC0f2GAC0aS1f,SALE,9,N,4342.599999999999
0LfFC0f2GAC0aS1f,SALE,10,N,1609.67
0LfFC0f2GAC0aS1f,SALE,11,N,3373.42
0LfFC0f2GAC0aS1f,SALE,12,N,4107.94
0LlgWQr7sh3qJaNu,SALE,1,N,5285.12
0LlgWQr7sh3qJaNu,SALE,2,N,579.64
0LlgWQr7sh3qJaNu,SALE,3,N,1807.21
0LlgWQr7sh3qJaNu,SALE,5,N,3651.86
0LlgWQr7sh3qJaNu,SALE,6,N,7101.79
0LlgWQr7sh3qJaNu,SALE,7,N,2486.38
0LlgWQr7sh3qJaNu,SALE,8,N,7003.19
0LlgWQr7sh3qJaNu,SALE,9,N,2535.9700000000003
0LlgWQr7sh3qJaNu,SALE,10,N,2205.68
0LlgWQr7sh3qJaNu,SALE,11,N,2277.9900000000002
0LlgWQr7sh3qJaNu,SALE,12,N,7130.98
0LtsenJRHUACBJxJ,SALE,6,N,143.72
0LtsenJRHUACBJxJ,SALE,7,N,55.980000000000004
0LtsenJRHUACBJxJ,SALE,8,N,170.11
0LtsenJRHUACBJxJ,SALE,9,N,128.93
0LtsenJRHUACBJxJ,SALE,10,N,142.67
0LxtqbbM2CqCuxu6,SALE,1,N,777.64
0LxtqbbM2CqCuxu6,SALE,2,N,936.64
0LxtqbbM2CqCuxu6,SALE,3,N,628.7
0LxtqbbM2CqCuxu6,SALE,4,N,460.58
0LxtqbbM2CqCuxu6,SALE,5,N,536.03
0LxtqbbM2CqCuxu6,SALE,6,N,454.38
0LxtqbbM2CqCuxu6,SALE,7,N,1293.79
0LxtqbbM2CqCuxu6,SALE,8,N,487.59
0LxtqbbM2CqCuxu6,SALE,9,N,208.42
0LxtqbbM2CqCuxu6,SALE,10,N,444.13
0LxtqbbM2CqCuxu6,SALE,11,N,1023.16
0LxtqbbM2CqCuxu6,SALE,12,N,1284.35
0MQrGVRUUtuXa16k,SALE,1,N,3839.39
0MQrGVRUUtuXa16k,SALE,2,N,3046.33
0MQrGVRUUtuXa16k,SALE,3,N,3023.22
0MQrGVRUUtuXa16k,SALE,5,N,2584.11
0MQrGVRUUtuXa16k,SALE,6,N,1423.69
0MQrGVRUUtuXa16k,SALE,7,N,1911.68
0MQrGVRUUtuXa16k,SALE,8,N,2314.16
0MQrGVRUUtuXa16k,SALE,9,N,6660.26
0MQrGVRUUtuXa16k,SALE,10,N,2255.56
0MQrGVRUUtuXa16k,SALE,11,N,2692.09
0MQrGVRUUtuXa16k,SALE,12,N,1680.24
0MaFzm0v3RPBpe9k,SALE,1,N,20.94
0MaFzm0v3RPBpe9k,SALE,3,N,19.71
0MaFzm0v3RPBpe9k,SALE,10,N,35.629999999999995
0MaFzm0v3RPBpe9k,SALE,12,N,26.38
0N5VmIF2BhSwBxDV,SALE,1,N,2177.9
0N5VmIF2BhSwBxDV,SALE,2,N,1228.92
0N5VmIF2BhSwBxDV,SALE,3,N,1973.89
0N5VmIF2BhSwBxDV,SALE,5,N,119.38
0N5VmIF2BhSwBxDV,SALE,6,N,2845.07
0N5VmIF2BhSwBxDV,SALE,7,N,2345.82
0N5VmIF2BhSwBxDV,SALE,8,N,2799.36
0N5VmIF2BhSwBxDV,SALE,9,N,1175.62
0N5VmIF2BhSwBxDV,SALE,10,N,4377.0599999999995
0N5VmIF2BhSwBxDV,SALE,11,N,9134.89
0N5VmIF2BhSwBxDV,SALE,12,N,3413.3
0OaRUjz5OD72OuJK,SALE,1,N,271.78
0OaRUjz5OD72OuJK,SALE,2,N,174.3
0OaRUjz5OD72OuJK,SALE,3,N,2559.02
0OaRUjz5OD72OuJK,SALE,5,N,67.4
0OaRUjz5OD72OuJK,SALE,6,N,63.6
0OaRUjz5OD72OuJK,SALE,7,N,91.75
0OaRUjz5OD72OuJK,SALE,8,N,241.78
0OaRUjz5OD72OuJK,SALE,9,N,181.5
0OaRUjz5OD72OuJK,SALE,10,N,372.68
0OaRUjz5OD72OuJK,SALE,11,N,129.54
0OaRUjz5OD72OuJK,SALE,12,N,1171.1799999999998
0PgimM534geSrIlx,SALE,1,N,70.42
0PgimM534geSrIlx,SALE,4,N,706.4200000000001
0PgimM534geSrIlx,SALE,7,N,853.3
0PgimM534geSrIlx,SALE,9,N,178.85
0PgimM534geSrIlx,SALE,11,N,568.27
0PgimM534geSrIlx,SALE,12,N,874.47
0PktcRHEPCDSDauG,SALE,8,N,0.0
0QAwcFNTzAd3T6XE,SALE,1,N,52.5
0QAwcFNTzAd3T6XE,SALE,2,N,14.0
0QAwcFNTzAd3T6XE,SALE,3,N,76.13
0QAwcFNTzAd3T6XE,SALE,4,N,7.69
0QAwcFNTzAd3T6XE,SALE,6,N,48.15
0QAwcFNTzAd3T6XE,SALE,7,N,79.25
0QAwcFNTzAd3T6XE,SALE,8,N,49.0
0QAwcFNTzAd3T6XE,SALE,9,N,1186.96
0QAwcFNTzAd3T6XE,SALE,10,N,48.3
0QAwcFNTzAd3T6XE,SALE,11,N,85.5
0QAwcFNTzAd3T6XE,SALE,12,N,100.18
0QR0zVoTZGl495w2,SALE,6,N,83.50999999999999
0QR0zVoTZGl495w2,SALE,7,N,54.0
0QR0zVoTZGl495w2,SALE,9,N,29.0
0RYQdilajadAAi4y,SALE,1,N,57.59
0RYQdilajadAAi4y,SALE,2,N,42.370000000000005
0RYQdilajadAAi4y,SALE,3,N,134.04
0RYQdilajadAAi4y,SALE,5,N,346.15
0RYQdilajadAAi4y,SALE,6,N,227.04000000000002
0RYQdilajadAAi4y,SALE,7,N,539.19
0RYQdilajadAAi4y,SALE,8,N,562.35
0RYQdilajadAAi4y,SALE,9,N,321.39000000000004
0RYQdilajadAAi4y,SALE,10,N,407.34000000000003
0RYQdilajadAAi4y,SALE,11,N,302.54
0RYQdilajadAAi4y,SALE,12,N,809.9499999999999
0TF7j3QAAkdqz9mB,SALE,2,N,20.39
0TGosQTzhRhd7X6l,SALE,10,N,30.0
0TjQEQMtAfoYbsfD,SALE,1,N,2248.79
0TjQEQMtAfoYbsfD,SALE,2,N,1501.28
0TjQEQMtAfoYbsfD,SALE,3,N,1619.99
0TjQEQMtAfoYbsfD,SALE,4,N,735.72
0TjQEQMtAfoYbsfD,SALE,5,N,0.99
0TjQEQMtAfoYbsfD,SALE,6,N,7520.95
0TjQEQMtAfoYbsfD,SALE,7,N,926.9
0TjQEQMtAfoYbsfD,SALE,8,N,2049.32
0TjQEQMtAfoYbsfD,SALE,9,N,4228.43
0TjQEQMtAfoYbsfD,SALE,10,N,2052.73
0TjQEQMtAfoYbsfD,SALE,11,N,1584.43
0TjQEQMtAfoYbsfD,SALE,12,N,1041.02
0TrlX9EITmiEzJJZ,SALE,1,N,400.75
0TrlX9EITmiEzJJZ,SALE,2,N,72.18
0TrlX9EITmiEzJJZ,SALE,3,N,30.209999999999997
0TrlX9EITmiEzJJZ,SALE,4,N,144.2
0TrlX9EITmiEzJJZ,SALE,5,N,140.08
0TrlX9EITmiEzJJZ,SALE,6,N,88.72
0TrlX9EITmiEzJJZ,SALE,7,N,65.21
0TrlX9EITmiEzJJZ,SALE,8,N,139.56
0TrlX9EITmiEzJJZ,SALE,9,N,140.08
0TrlX9EITmiEzJJZ,SALE,10,N,25.75
0TrlX9EITmiEzJJZ,SALE,11,N,661.59
0TrlX9EITmiEzJJZ,SALE,12,N,286.01
0TwmzjB9Ahcdo6d2,SALE,1,N,2153.12
0TwmzjB9Ahcdo6d2,SALE,2,N,679.01
0TwmzjB9Ahcdo6d2,SALE,3,N,566.29
0TwmzjB9Ahcdo6d2,SALE,4,N,181.26999999999998
0TwmzjB9Ahcdo6d2,SALE,12,N,124.36
0UN69DUuvxRS8pt5,SALE,3,N,269.91
0UN69DUuvxRS8pt5,SALE,7,Y,425.0
0UN69DUuvxRS8pt5,SALE,9,N,867.65
0UN69DUuvxRS8pt5,SALE,11,N,200.13
0V1mmoEm61UVLzHj,SALE,1,N,1492.98
0V1mmoEm61UVLzHj,SALE,2,N,666.6
0V1mmoEm61UVLzHj,SALE,3,N,2273.14
0V1mmoEm61UVLzHj,SALE,4,N,396.25
0V1mmoEm61UVLzHj,SALE,5,N,718.5699999999999
0V1mmoEm61UVLzHj,SALE,6,N,1241.56
0V1mmoEm61UVLzHj,SALE,7,N,1538.28
0V1mmoEm61UVLzHj,SALE,8,N,1470.79
0V1mmoEm61UVLzHj,SALE,9,N,916.64
0V1mmoEm61UVLzHj,SALE,10,N,2032.6
0V1mmoEm61UVLzHj,SALE,11,N,1723.47
0V1mmoEm61UVLzHj,SALE,12,N,1159.21
0VChK26Bm9W17rXV,SALE,1,N,1075.8700000000001
0VChK26Bm9W17rXV,SALE,2,N,2538.17
0VChK26Bm9W17rXV,SALE,3,N,1003.12
0VChK26Bm9W17rXV,SALE,6,N,553.1899999999999
0VChK26Bm9W17rXV,SALE,7,N,2446.2
0VChK26Bm9W17rXV,SALE,8,N,1119.92
0VChK26Bm9W17rXV,SALE,9,N,816.43
0VChK26Bm9W17rXV,SALE,10,N,1500.96
0VChK26Bm9W17rXV,SALE,11,N,2567.48
0VChK26Bm9W17rXV,SALE,12,N,2022.36
0WBdJ5K0pGMBl8bp,SALE,1,N,2241.11
0WBdJ5K0pGMBl8bp,SALE,2,N,2430.82
0WBdJ5K0pGMBl8bp,SALE,3,N,1378.19
0WBdJ5K0pGMBl8bp,SALE,4,N,241.13
0WBdJ5K0pGMBl8bp,SALE,5,N,1354.33
0WBdJ5K0pGMBl8bp,SALE,6,N,6223.52
0WBdJ5K0pGMBl8bp,SALE,7,N,2881.82
0WBdJ5K0pGMBl8bp,SALE,8,N,2801.35
0WBdJ5K0pGMBl8bp,SALE,9,N,1539.58
0WBdJ5K0pGMBl8bp,SALE,10,N,1084.4099999999999
0WBdJ5K0pGMBl8bp,SALE,11,N,7916.339999999999
0WBdJ5K0pGMBl8bp,SALE,12,N,1852.1100000000001
0WrF9LrypQLAVzEU,SALE,8,N,281.98
0WrF9LrypQLAVzEU,SALE,9,N,282.49
0WrF9LrypQLAVzEU,SALE,11,N,332.0
0WrF9LrypQLAVzEU,SALE,12,N,191.24
0YCygvNXGmcAGQmv,SALE,1,N,2042.55
0YCygvNXGmcAGQmv,SALE,2,N,945.4300000000001
0YCygvNXGmcAGQmv,SALE,3,N,985.97
0YCygvNXGmcAGQmv,SALE,4,N,178.60999999999999
0YCygvNXGmcAGQmv,SALE,5,N,381.79999999999995
0YCygvNXGmcAGQmv,SALE,6,N,2552.08
0YCygvNXGmcAGQmv,SALE,7,N,444.37
0YCygvNXGmcAGQmv,SALE,8,N,1964.52
0YCygvNXGmcAGQmv,SALE,9,N,1338.43
0YCygvNXGmcAGQmv,SALE,10,N,880.98
0YCygvNXGmcAGQmv,SALE,11,N,1232.35
0YCygvNXGmcAGQmv,SALE,12,N,3157.84
0aputqhHodwF6UZf,SALE,4,N,29.0
0bvezhFUcqsmsTvC,SALE,1,N,1970.18
0bvezhFUcqsmsTvC,SALE,2,N,1281.59
0bvezhFUcqsmsTvC,SALE,3,N,810.88
